Lat,Lon,Title,Country/Region,Confirmed,Deaths
35.7730076,-86.2820081,Tennessee,US,7,0
44.6471761,-100.348761,South Dakota,US,5,1
41.7370229,-99.5873816,Nebraska,US,5,0
40.2253569,-82.6881395,Ohio,US,3,0
41.7962409,-71.5992372,Rhode Island,US,5,0
41.6500201,-72.7342163,Connecticut,US,2,0
21.2160437,-157.975203,Hawaii,US,2,0
45.9896587,-94.6113288,Minnesota,US,3,0
44.4308975,-89.6884637,Wisconsin,US,3,0
38.27312,-98.5821872,Kansas,US,1,0
30.8703881,-92.007126,Louisiana,US,6,0
38.7604815,-92.5617875,Missouri,US,1,0
34.9550817,-97.2684063,Oklahoma,US,2,0
39.4225192,-111.7143584,Utah,US,2,0
44.5990718,-72.5002608,Vermont,US,1,0
39.7837304,-100.4458825,US,City NA,342,9
43.4339535,142.9514468,Hokkaidō,Japan,111,3
39.6898802,140.342608,Akita,Japan,1,0
38.3880155,140.9761025,Miyagi,Japan,1,0
36.52198,139.033483,Gunma,Japan,1,0
36.6782167,139.8096549,Tochigi,Japan,2,0
35.9754168,139.4160114,Saitama,Japan,15,0
35.549399,140.2647303,Chiba,Japan,24,0
35.6828387,139.7594549,Tokyo,Japan,67,2
35.4342935,139.374753,Kanagawa,Japan,44,3
37.6452283,138.7669125,Niigata,Japan,6,0
35.6399328,138.6380495,Yamanashi,Japan,2,0
34.9332488,138.0955398,Shizuoka,Japan,1,0
36.1143945,138.0319015,Nagano,Japan,2,0
36.9888678,136.8163563,Ishikawa,Japan,6,0
34.9991645,137.254574,Aichi,Japan,99,3
35.7867449,137.0460777,Gifu,Japan,2,0
39.7837304,-100.4458825,Mie,Japan,1,0
35.247154,136.109385,Shiga,Japan,1,0
35.021041,135.7556075,Kyoto,Japan,11,0
34.6198813,135.490357,Osaka,Japan,73,0
34.2963089,135.8816819,Nara,Japan,3,0
33.8070292,135.5930743,Wakayama,Japan,14,1
34.914934,134.860666,Hyōgo,Japan,24,0
33.9196418,134.2509634,Tokushima,Japan,1,0
33.6569018,133.5606241,Kōchi,Japan,12,0
33.6013646,132.8185275,Ehime,Japan,2,0
34.3916058,132.4518156,Hiroshima,Japan,1,0
34.2379614,131.5873845,Yamaguchi,Japan,1,0
33.6251241,130.6180016,Fukuoka,Japan,3,0
33.1819875,131.4270217,Ōita,Japan,1,0
32.6450475,130.6341345,Kumamoto,Japan,5,0
32.097681,131.294542,Miyazaki,Japan,1,0
26.5707754,128.0255901,Okinawa,Japan,3,0
36.5748441,139.2394179,Japan ,City NA,794,4
14.8971921,100.83273,Thailand ,City NA,70,1
37.5666791,126.9782914,Seoul,Republic of Korea,193,0
35.1799528,129.0752365,Busan,Republic of Korea,98,1
37.456,126.7052,Incheon,Republic of Korea,25,0
35.1595775,126.8515089,Gwangju,Republic of Korea,15,0
35.5391697,129.3119136,Ulsan,Republic of Korea,25,0
36.4799999,127.289,Sejong City,Republic of Korea,10,0
37.885,127.7297,Gangwon-do,Republic of Korea,29,1
36.3496,127.3848,Daejeon,Republic of Korea,18,0
36.6357,127.4915,Chungcheongbuk-do,Republic of Korea,27,0
35.8198999,127.109,Jeonbuk,Republic of Korea,7,0
34.8159,126.4629,Jeonnam,Republic of Korea,4,0
35.2382,128.6925,Gyeongsangnam-do,Republic of Korea,84,0
33.3939924,126.5626653,Jeju-do,Republic of Korea,4,0
36.6593,126.6729,Chungnam,Republic of Korea,112,0
41.98916,2.81113,Gyeong-gi,Republic of Korea,175,1
36.5795879,128.4679981,Gyeong-buk,Republic of Korea,1.135,14
35.8713,128.6018,Daegu,Republic of Korea,5.794,43
36.638392,127.6961188,Republic of Korea,City NA,114,6
1.340863,103.8303918,Singapore,Singapore,178,0
13.2904027,108.4265113,Vietnam,City NA,39,0
12.5736537,99.9169817,Great East,France ,464,5
48.6443057,2.7537863,Île-de-France,France ,334,3
50.1024606,2.7247515,Hauts-de-France,France ,209,15
45.2968119,4.6604809,Auvergne-Rhône-Alpes,France ,211,3
47.2,6.1,Burgondy-Franche-Comté,France ,146,1
48.1628283,-2.6841473,Brittany,France ,81,1
44.0580563,6.0638506,Provence-Alpes-Côte d'Azur,France ,90,1
45.4039367,0.3756199,New-Aquitaine,France ,55,0
42.1880897,9.0684138,Corse,France ,42,2
43.6487851,2.3435684,Occitania,France ,61,0
47.6594864,-0.8186143,Pays de la Loire,France ,28,0
49.0677708,0.3138532,Normandy,France ,37,1
47.5490251,1.7324062,Centre-Val de Loire,France ,18,0
4.8417097,-58.6416891,Guyane,France ,5,0
14.6367927,-61.0158269,Martinique,France ,3,0
48.5683066,6.7539988,Saint-Martin,France ,2,0
17.9036287,-62.8115688,Saint-Barthélemy,France ,1,0
46.603354,1.8883335,France,City NA,494,16
28.1083929,84.0917139,Nepal,City NA,1,0
4.5693754,102.2656823,Malaysia,City NA,149,0
50.000678,-86.000977,Ontario,Canada,36,0
52.4760892,-71.8258668,Quebec,Canada,4,0
55.001251,-125.002441,British Columbia,Canada,39,1
55.001251,-115.002136,Alberta,Canada,14,0
61.0666922,-107.9917071,Canada,City NA,16,0
10.6220485,103.5223365,Sihanoukville,Cambodia,3,0
7.5554942,80.7137847,Sri Lanka ,City NA,2,0
-31.8759835,147.2869493,New South Wales,Australia,66,2
-30.5343665,135.6301212,South Australia,Australia,9,0
-36.5986096,144.6780052,Victoria,Australia,21,0
-22.1646782,144.5844903,Queensland,Australia,20,0
-42.1422055,146.6723518,Tasmania,Australia,3,0
-25.2303005,121.0187246,Western Australia,Australia,9,1
-24.7761086,134.755,Australia,City NA,11,0
48.9467562,11.4038717,Bavaria,Germany,314,0
52.8398531,9.075962,Lower Saxony,Germany,49,0
48.6296972,9.1949534,Baden-Württemberg,Germany,237,0
51.4781796,7.5542336,North Rhine-Westphalia,Germany,484,2
50.7333163,11.0747905,Thuringia ,Germany,4,0
52.8455492,13.2461296,Brandenburg,Germany,9,0
53.7735234,12.5755746,Mecklenburg-Vorpommern,Germany,13,0
50.6118537,9.1909725,Hesse,Germany,35,0
53.550341,10.000654,Hamburg,Germany,29,0
49.9531599,7.310646,Rhineland-Palatinate,Germany,25,0
50.9295798,13.4585052,Saxony,Germany,22,0
54.1853998,9.8220089,Schleswig-Holstein,Germany,9,0
52.5170365,13.3888599,Berlin,Germany,48,0
49.4173988,6.9805789,Saarland,Germany,7,0
53.0758196,8.8071646,Bremen,Germany,4,0
51.908526,11.4939134,Saxony-Anhalt,Germany,7,0
51.0834196,10.4234469,Germany,Germany,670,1
60.2246684,25.1272631,Uusimaa,Finland,21,0
60.937696,24.153192,Kanta-Häme,Finland,3,0
61.7171466,23.7157134,Pirkanmaa,Finland,5,0
62.531014,25.5056833,Central Finland,Finland,3,0
60.3059485,22.414426,Southwest Finland ,Finland,2,0
63.0883598,27.5303948,North Savo,Finland,2,0
61.266714,28.4055125,South Karelia,Finland,1,0
